,,,,,,,,,,,,,
#,name,NED link,IRSA link,prediction:,mode,pitch,direction,measured:,mode,pitch,error,direction,SFRavg
11,N4501,http://ned.ipac.caltech.edu/byname?objname=N4501&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1 ,https://irsa.ipac.caltech.edu/applications/finderchart/?__action=table.search&options=%7B%22tbl_group%22%3A%22upload-table-id%22%2C%22pageSize%22%3A100%7D&request=%7B%22selectImage%22%3A%22dss%2Csdss%2C2mass%2Cwise%2Ciras%22%2C%22tbl_id%22%3A%22upload-table-id%22%2C%22searchCatalog%22%3A%22yes%22%2C%22UserTargetWorldPt%22%3A%22187.9965029%3B14.42038694%3BEQ_J2000%22%2C%22id%22%3A%22QueryFinderChartWeb%22%2C%22imageSizeAndUnit%22%3A%220.08333333333333333%22%2C%22META_INFO%22%3A%7B%22tbl_id%22%3A%22upload-table-id%22%7D%2C%22pageSize%22%3A100%2C%22startIdx%22%3A0%7D ,,2,32,CCW,,2,89,12.6,CW,3.93
12,N4527,http://ned.ipac.caltech.edu/byname?objname=N4527&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1 ,https://irsa.ipac.caltech.edu/applications/finderchart/?__action=table.search&options=%7B%22tbl_group%22%3A%22upload-table-id%22%2C%22pageSize%22%3A100%7D&request=%7B%22selectImage%22%3A%22dss%2Csdss%2C2mass%2Cwise%2Ciras%22%2C%22tbl_id%22%3A%22upload-table-id%22%2C%22searchCatalog%22%3A%22yes%22%2C%22UserTargetWorldPt%22%3A%22188.5350892%3B2.653662778%3BEQ_J2000%22%2C%22id%22%3A%22QueryFinderChartWeb%22%2C%22imageSizeAndUnit%22%3A%220.08333333333333333%22%2C%22META_INFO%22%3A%7B%22tbl_id%22%3A%22upload-table-id%22%7D%2C%22pageSize%22%3A100%2C%22startIdx%22%3A0%7D ,,2,76,CCW,,2,89,12.6,CW,4.23
13,N4535,http://ned.ipac.caltech.edu/byname?objname=N4535&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1 ,https://irsa.ipac.caltech.edu/applications/finderchart/?__action=table.search&options=%7B%22tbl_group%22%3A%22upload-table-id%22%2C%22pageSize%22%3A100%7D&request=%7B%22selectImage%22%3A%22dss%2Csdss%2C2mass%2Cwise%2Ciras%22%2C%22tbl_id%22%3A%22upload-table-id%22%2C%22searchCatalog%22%3A%22yes%22%2C%22UserTargetWorldPt%22%3A%22188.584625%3B8.19775%3BEQ_J2000%22%2C%22id%22%3A%22QueryFinderChartWeb%22%2C%22imageSizeAndUnit%22%3A%220.08333333333333333%22%2C%22META_INFO%22%3A%7B%22tbl_id%22%3A%22upload-table-id%22%7D%2C%22pageSize%22%3A100%2C%22startIdx%22%3A0%7D ,,2,20,CCW,,2,83,11.6,CCW,3.08
14,N4536,http://ned.ipac.caltech.edu/byname?objname=N4536&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1 ,https://irsa.ipac.caltech.edu/applications/finderchart/?__action=table.search&options=%7B%22tbl_group%22%3A%22upload-table-id%22%2C%22pageSize%22%3A100%7D&request=%7B%22selectImage%22%3A%22dss%2Csdss%2C2mass%2Cwise%2Ciras%22%2C%22tbl_id%22%3A%22upload-table-id%22%2C%22searchCatalog%22%3A%22yes%22%2C%22UserTargetWorldPt%22%3A%22188.6127073%3B2.188137414%3BEQ_J2000%22%2C%22id%22%3A%22QueryFinderChartWeb%22%2C%22imageSizeAndUnit%22%3A%220.08333333333333333%22%2C%22META_INFO%22%3A%7B%22tbl_id%22%3A%22upload-table-id%22%7D%2C%22pageSize%22%3A100%2C%22startIdx%22%3A0%7D ,,2,65,CW,,2,69,10,CW,4.52
15,N4567,http://ned.ipac.caltech.edu/byname?objname=N4536&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z= ,https://irsa.ipac.caltech.edu/applications/finderchart/?__action=table.search&options=%7B%22tbl_group%22%3A%22upload-table-id%22%2C%22pageSize%22%3A100%7D&request=%7B%22selectImage%22%3A%22dss%2Csdss%2C2mass%2Cwise%2Ciras%22%2C%22tbl_id%22%3A%22upload-table-id%22%2C%22searchCatalog%22%3A%22yes%22%2C%22UserTargetWorldPt%22%3A%22188.6127073%3B2.188137414%3BEQ_J2000%22%2C%22id%22%3A%22QueryFinderChartWeb%22%2C%22imageSizeAndUnit%22%3A%220.08333333333333333%22%2C%22META_INFO%22%3A%7B%22tbl_id%22%3A%22upload-table-id%22%7D%2C%22pageSize%22%3A100%2C%22startIdx%22%3A0%7 ,,2,32,CW,,1,45,9.6,CW,0.37
16,N4568,http://ned.ipac.caltech.edu/byname?objname=N4568&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1 ,https://irsa.ipac.caltech.edu/applications/finderchart/?__action=table.search&options=%7B%22tbl_group%22%3A%22upload-table-id%22%2C%22pageSize%22%3A100%7D&request=%7B%22selectImage%22%3A%22dss%2Csdss%2C2mass%2Cwise%2Ciras%22%2C%22tbl_id%22%3A%22upload-table-id%22%2C%22searchCatalog%22%3A%22yes%22%2C%22UserTargetWorldPt%22%3A%22189.14275%3B11.23888889%3BEQ_J2000%22%2C%22id%22%3A%22QueryFinderChartWeb%22%2C%22imageSizeAndUnit%22%3A%220.08333333333333333%22%2C%22META_INFO%22%3A%7B%22tbl_id%22%3A%22upload-table-id%22%7D%2C%22pageSize%22%3A100%2C%22startIdx%22%3A0%7D ,,2,75,CW,,1,89,10.6,CW,2.71
17,N4569,http://ned.ipac.caltech.edu/byname?objname=N4569&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1 ,https://irsa.ipac.caltech.edu/applications/finderchart/?__action=table.search&options=%7B%22tbl_group%22%3A%22upload-table-id%22%2C%22pageSize%22%3A100%7D&request=%7B%22selectImage%22%3A%22dss%2Csdss%2C2mass%2Cwise%2Ciras%22%2C%22tbl_id%22%3A%22upload-table-id%22%2C%22searchCatalog%22%3A%22yes%22%2C%22UserTargetWorldPt%22%3A%22189.20747%3B13.16294%3BEQ_J2000%22%2C%22id%22%3A%22QueryFinderChartWeb%22%2C%22imageSizeAndUnit%22%3A%220.08333333333333333%22%2C%22META_INFO%22%3A%7B%22tbl_id%22%3A%22upload-table-id%22%7D%2C%22pageSize%22%3A100%2C%22startIdx%22%3A0%7D ,,2,70,CCW,,2,82,11.8,CW,1.96
18,N4579,http://ned.ipac.caltech.edu/byname?objname=N4579&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1 ,"https://irsa.ipac.caltech.edu/applications/finderchart/?__action=table.search&options={""tbl_group""%3A""upload-table-id""%2C""pageSize""%3A100}&request={""selectImage""%3A""dss%2Csdss%2C2mass%2Cwise%2Ciras""%2C""tbl_id""%3A""upload-table-id""%2C""searchCatalog""%3A""yes""%2C""UserTargetWorldPt""%3A""189.4313417%3B11.81819389%3BEQ_J2000""%2C""id""%3A""QueryFinderChartWeb""%2C""imageSizeAndUnit""%3A""0.08333333333333333""%2C""META_INFO""%3A{""tbl_id""%3A""upload-table-id""}%2C""pageSize""%3A100%2C""startIdx""%3A0} ",,2,17,CCW,,2,63,9.1,CW,1.59
19,N4651,http://ned.ipac.caltech.edu/byname?objname=N4651&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1 ,https://irsa.ipac.caltech.edu/applications/finderchart/?__action=table.search&options=%7B%22tbl_group%22%3A%22upload-table-id%22%2C%22pageSize%22%3A100%7D&request=%7B%22selectImage%22%3A%22dss%2Csdss%2C2mass%2Cwise%2Ciras%22%2C%22tbl_id%22%3A%22upload-table-id%22%2C%22searchCatalog%22%3A%22yes%22%2C%22UserTargetWorldPt%22%3A%22190.927625%3B16.39338889%3BEQ_J2000%22%2C%22id%22%3A%22QueryFinderChartWeb%22%2C%22imageSizeAndUnit%22%3A%220.08333333333333333%22%2C%22META_INFO%22%3A%7B%22tbl_id%22%3A%22upload-table-id%22%7D%2C%22pageSize%22%3A100%2C%22startIdx%22%3A0%7D ,,2,34,CCW,,2,82,11.6,CCW,
20,N4654,http://ned.ipac.caltech.edu/byname?objname=N4654&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1 ,https://irsa.ipac.caltech.edu/applications/finderchart/?__action=table.search&options=%7B%22tbl_group%22%3A%22upload-table-id%22%2C%22pageSize%22%3A100%7D&request=%7B%22selectImage%22%3A%22dss%2Csdss%2C2mass%2Cwise%2Ciras%22%2C%22tbl_id%22%3A%22upload-table-id%22%2C%22searchCatalog%22%3A%22yes%22%2C%22UserTargetWorldPt%22%3A%22190.9857516%3B13.12667942%3BEQ_J2000%22%2C%22id%22%3A%22QueryFinderChartWeb%22%2C%22imageSizeAndUnit%22%3A%220.08333333333333333%22%2C%22META_INFO%22%3A%7B%22tbl_id%22%3A%22upload-table-id%22%7D%2C%22pageSize%22%3A100%2C%22startIdx%22%3A0%7D ,,2,30,CCW,,2,83,11.8,CW,2.73
